<UNK> 1.0	sil
ಭಾಷೆಯೊಂದಿಗೆ 1.0	bh aa sx e y o q d i g e 
ಸಂಬಂಧವನ್ನು 1.0	s q b q dh w n eu n u 
ಕಲ್ಪಿಸುವುದು 1.0	k l eu p i s u w u d u 
ಸಾಧ್ಯವಾಗಿಲ್ಲ 1.0	s aa dh eu y w aa g i l eu l 
ರವಾನೆಯ 1.0	r w aa n e y 
ಸಂಕೇತವು 1.0	s q k ee t w u 
ಮಾರ್ಪಾಡಿಗೆ 1.0	m aa r eu p aa dx i g e 
ಒಳಗಾಗದೇ 1.0	o lx g aa g d ee 
ಉಳಿದಿದ್ದಲ್ಲಿ 1.0	u lx i d i d eu d l eu l i 
ಶರೀರವಿಜ್ಞಾನದಲ್ಲಿ 1.0	sh r ii r w i j eu nj aa n d l eu l i 
ಪ್ರತ್ಯಕ್ಷ 1.0	p eu r t eu y k eu sx 
ನೋಡಿ 1.0	n ii i 
ಅರ್ಥ 1.0	a r eu th 
ಮಾಡಿಕೊಂಡವನೇ 1.0	m aa dx i k o q dx w n ee 
ವಿಶಾರದ 1.0	w i sh aa r d 
ಕೇಳಿದ್ದರಿಂದ 1.0	k ee lx i d eu d r i q d 
ಸಂದೇಹ 1.0	s q d ee h 
ಕಳೆಯುತ್ತದೆ 1.0	k lx e y u t eu t d e 
ಬಳಸಲಾಗುವ 1.0	b lx s l aa g u w 
ವಿಧಾನಗಳನ್ನು 1.0	w i dh aa n g lx n eu n u 
ಉತ್ತಮಗೊಳಿಸುವ 1.0	u t eu t m g o lx i s u w 
ಅನುಕೂಲತೆಗಳನ್ನು 1.0	a n u k uu l t e g lx n eu n u 
ಪಡೆಯುವ 1.0	p dx e y u w 
ಗುರಿ 1.0	g u r i 
ಹೊಂದಿದೆ 1.0	h o q d i d e 
ಇವುಗಳಲ್ಲದೆ 1.0	i w u g lx l eu l d e 
ಸಿಟ್ರಿಕ್ 1.0	s i tx eu r i k eu 
ಅಸಿಟಿಕ್ 1.0	a s i tx i k eu 
ಆಮ್ಲಗಳೂ 1.0	aa m eu l g lx uu 
ಇರುತ್ತವೆ 1.0	i r u t eu t w e 
ಕೃಷಿಯು 1.0	k rq sx i y u 
ಗ್ರಾಮದ 1.0	g eu r aa m d 
ಪ್ರಮುಖ 1.0	p eu r m u kh 
ಉದ್ಯೋಗವಾಗಿದೆ 1.0	u d eu y ii w aa g i d e 
ಅಂತರ್ಬೋಧೆ 1.0	a q t r eu b ii e 
ವಿಶ್ವದ 1.0	w i sh eu w d 
ಮಹತ್ವಪುರ್ಣ 1.0	m h t eu w p u r eu nx 
ಜ್ಞಾನದ 1.0	j eu nj aa n d 
ಮೂಲವಾಗಿದೆ 1.0	m uu l w aa g i d e 
ಸನಾತನ 1.0	s n aa t n 
ಪ್ರಾಣಿಯಾಗಗಳು 1.0	p eu r aa nx i y aa g g lx u 
ನೆಡೆಯುತ್ತಿದವು 1.0	n e dx e y u t eu t i d w u 
ಮೇಲ್ಕಂಡ 1.0	m ee l eu k q dx 
ಅಂಶಗಳಿಂದ 1.0	a q sh g lx i q d 
ತಿಳಿದು 1.0	t i lx i d u 
ಬರುವುದೇನೆಂದರೆ 1.0	b r u w u d ee n e q d r e 
ದೇಶವು 1.0	d ee sh w u 
ಸಂಪೂರ್ಣವಾಗಿ 1.0	s q p uu r eu nx w aa g i 
ಸ್ವಾವಲಂಬಿಯಾಗಿಲ್ಲ 1.0	s eu w aa w l q b i y aa g i l eu l 
ಧಮನಿ 1.0	dh m n i 
ವಸ್ತುವನ್ನು 1.0	w s eu t u w n eu n u 
ಎತ್ತಿದಾಗ 1.0	e t eu t i d aa g 
ಗುರುತ್ವಾಕರ್ಷಣೆಯ 1.0	g u r u t eu w aa k r eu sx nx e y 
ವೇಗ 1.0	w ee g 
ಕಾರ್ಯಮಾಡಲಾರಂಭಿಸಿ 1.0	k aa r eu y m aa dx l aa r q bh i s i 
ಮತ್ತೆ 1.0	m t eu t e 
ಮೊದಲಿನ 1.0	m o d l i n 
ಸ್ಥಾನಕ್ಕೆ 1.0	s eu th aa n k eu k e 
ತರಲು 1.0	t r l u 
ಪ್ರಯತ್ನಿಸುತ್ತದೆ 1.0	p eu r y t eu n i s u t eu t d e 
ಇದ್ದುವು 1.0	i d eu d u w u 
ಎಂದೇ 1.0	e q d ee 
ಹೇಳಬಹುದು 1.0	h ee lx b h u d u 
ವ್ಯಾಪಾರ 1.0	w eu y aa p aa r 
ಸಂಸ್ಥೆಗಳು 1.0	s q s eu th e g lx u 
ಖಾಸಗಿ 1.0	kh aa s g i 
ಸಂದೇಶಗಳನ್ನು 1.0	s q d ee sh g lx n eu n u 
ಸಾರ್ವಜನಿಕ 1.0	s aa r eu w j n i k 
ನೆಟ್ವರ್ಕ್ 1.0	n e tx eu w r eu k eu 
ರವಾನಿಸುತ್ತದೆ 1.0	r w aa n i s u t eu t d e 
ಪೇಶಿಗಳು 1.0	p ee sh i g lx u 
ಐನೂರು 1.0	ai n uu r u 
ಸೈನ್ಯಬಲದ 1.0	s ai n eu y b l d 
ಪ್ರಯೋಗದ 1.0	p eu r y ii d 
ಕುರಿತು 1.0	k u r i t u 
ನ್ಯಾಯಾಲಯವು 1.0	n eu y aa y aa l y w u 
ಕಾರ್ಯಕ್ಷೇತ್ರವನ್ನು 1.0	k aa r eu y k eu sx ee t eu r w n eu n u 
ಪ್ರಕರಣಗಳ 1.0	p eu r k r nx g lx 
ಕೈಗೆತ್ತಿಕೊಳ್ಳುತ್ತದೆ 1.0	k ai g e t eu t i k o lx eu lx u t eu t d e 
ವಲಯದಲ್ಲಿ 1.0	w l y d l eu l i 
ಶಿಲೆಗಳು 1.0	sh i l e g lx u 
ಸಂತೃಪ್ತವಾಗಿರುತ್ತವೆ 1.0	s q t rq p eu t w aa g i r u t eu t w e 
ಕಂಡುಬರುವ 1.0	k q dx u b r u w 
ಗಣಿತದ 1.0	g nx i t d 
ಮಟ್ಟವೂ 1.0	m tx eu tx w uu 
ಸ್ವರೂಪವೂ 1.0	s eu w r uu p w uu 
ಆಶ್ಚರ್ಯಕರವಾಗಿದೆ 1.0	aa sh eu c r eu y k r w aa g i d e 
ಚರಕಸಂಹಿತೆಯಲ್ಲಿ 1.0	c r k s q h i t e y l eu l i 
ಅಂಗರಚನಾವಿಜ್ಞಾನಶಾಸ್ತ್ರ 1.0	a q g r c n aa w i j eu nj aa n sh aa s eu t eu r 
ಉಪಯೋಗಿಸಲಾಗಿದೆ 1.0	u p y ii i s l aa g i d e 
ಜತೆಯಾಗಿ 1.0	j t e y aa g i 
ತಂಡದಲ್ಲಿ 1.0	t q dx d l eu l i 
ಕಾರ್ಯನಿರ್ವಹಿಸಲು 1.0	k aa r eu y n i r eu w h i s l u 
ಅನುಕೂಲ 1.0	a n u k uu l 
ಮಾಡಿಕೊಡುತ್ತದೆ 1.0	m aa dx i k o dx u t eu t d e 
ಪ್ರಯೋಗಗಳನ್ನು 1.0	p eu r y ii g lx n eu n u 
ಮಾರ್ಪಡಿಸಬಹುದು 1.0	m aa r eu p dx i s b h u d u 
ಹೊಸದನ್ನು 1.0	h o s d n eu n u 
ಆರಂಭಿಸಬಹುದು 1.0	aa r q bh i s b h u d u 
ಸಿಬ್ಬಂದಿ 1.0	s i b eu b q d i 
ಸದಸ್ಯ 1.0	s d s eu y 
ಅವುಗಳೊಳಗಿರುವ 1.0	a w u g lx o lx g i r u w 
ಹಗ್ಗದಂತಹ 1.0	h g eu g d q t h 
ನಿದ್ರಾ 1.0	n i d eu r aa 
ಬ್ಯಾಗ್ 1.0	b eu y aa g eu 
ಮಲಗಬಹುದು 1.0	m l g b h u d u 
ವ್ಯತಿರಿಕ್ತ 1.0	w eu y t i r i k eu t 
ಪರಿಸ್ಥಿತಿಯ 1.0	p r i s eu th i t i y 
ಬೆಳಕಿನ 1.0	b e lx k i n 
ಕಡೆ 1.0	k dx e 
ಸರಿದಂತೆಲ್ಲ 1.0	s r i d q t e l eu l 
ಇದ್ದಕ್ಕಿದ್ದಂತೆ 1.0	i d eu d k eu k i d eu d q t e 
ಆಕಾಶದಲ್ಲಿ 1.0	aa k aa sh d l eu l i 
ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತದೆ 1.0	k aa nx i s i k o lx eu lx u t eu t d e 
ಸತ್ತ್ವಗುಂದಿಸಿದ 1.0	s t eu t eu w g u q d i s i d 
ಪ್ರಾಣಿಗಳಲ್ಲಿನ 1.0	p eu r aa nx i g lx l eu l i n 
ಕಾರ್ಯಚಟುವಟಿಕೆಯನ್ನು 1.0	k aa r eu y c tx u w tx i k e y n eu n u 
ವೃಷಣಗಳ 1.0	w rq sx nx g lx 
ಸಾರಸತ್ವವು 1.0	s aa r s t eu w w u 
ಬದಲಿಸಬಲ್ಲದು 1.0	b d l i s b l eu l d u 
ಆಗಾಗ 1.0	aa g aa g 
ಪ್ರಜ್ಞಾವ್ಯಾಪಾರದ 1.0	p eu r j eu nj aa w eu y aa p aa r d 
ವಿಚಾರವಾಗಿ 1.0	w i c aa r w aa g i 
ಆತ 1.0	aa t 
ಸ್ವಲ್ಪ 1.0	s eu w l eu p 
ವಿವರಣೆ 1.0	w i w r nx e 
ಕೊಡಬಲ್ಲನೆಂಬುದು 1.0	k o dx b l eu l n e q b u d u 
ಸರ್ವವೇದ್ಯ 1.0	s r eu w w ee d eu y 
ವಿಶ್ವಸನೀಯವಾಗಿದ್ದರೂ 1.0	w i sh eu w s n ii y w aa g i d eu d r uu 
ದೃಷ್ಟಿಕೋನ 1.0	d rq sx eu tx i k ii 
ಸ್ವತ್ತಿನ 1.0	s eu w t eu t i n 
ಮುಖಬೆಲೆಗಳನ್ನು 1.0	m u kh b e l e g lx n eu n u 
ತಗ್ಗಿಸುವುದು 1.0	t g eu g i s u w u d u 
ಅವುಗಳಿಗೆ 1.0	a w u g lx i g e 
ಇಷ್ಟವಿರುವುದಿಲ್ಲ 1.0	i sx eu tx w i r u w u d i l eu l 
ಅಂತರವಲೋಕನದ 1.0	a q t r w l ii n d 
ವಿರುದ್ಧವಾಗಿ 1.0	w i r u d eu dh w aa g i 
ಆಕ್ಷೇಪಣೆಗಳನ್ನು 1.0	aa k eu sx ee p nx e g lx n eu n u 
ಮನೋವಿಜ್ಞಾನದ 1.0	m n ii i j eu nj aa n d 
ವಿವಿಧ 1.0	w i w i dh 
ಪಂಥಗಳ 1.0	p q th g lx 
ಅನುಯಾಯಿಗಳು 1.0	a n u y aa y i g lx u 
ಎತ್ತಿದರು 1.0	e t eu t i d r u 
ವಿದ್ಯುತ್ತು 1.0	w i d eu y u t eu t u 
ಹರಿಯದಂತೆ 1.0	h r i y d q t e 
ಅವಾಹಕ 1.0	a w aa h k 
ಪಟ್ಟಿಗಳ 1.0	p tx eu tx i g lx 
ತಯಾರಿಕೆಗೆ 1.0	t y aa r i k e g e 
ಎಡಕ್ಕೆ 1.0	e dx k eu k e 
ಪೀಪಾಯಿಗಳು 1.0	p ii p aa y i g lx u 
ಒಂದಕ್ಕಿಂತ 1.0	o q d k eu k i q t 
ಜಾಸ್ತಿ 1.0	j aa s eu t i 
ಇದ್ದು 1.0	i d eu d u 
ಕಡೆಯಿಂದ 1.0	k dx e y i q d 
ಕಡೆಗೆ 1.0	k dx e g e 
ಚಲಿಸುತ್ತಿರುತ್ತವೆ 1.0	c l i s u t eu t i r u t eu t w e 
ನವಕರ್ನಾಟಕ 1.0	n w k r eu n aa tx k 
ಪಬ್ಲಿಷರ್ಸ್ 1.0	p b eu l i sx r eu s eu 
ಪ್ರೈವೇಟ್ 1.0	p eu r ai w ee tx eu 
ಲಿಮಿಟೆಡ್ 1.0	l i m i tx e dx eu 
ವಿಟಲೈನ್ 1.0	w i tx l ai n eu 
ಪೊರೆಯಿದೆ 1.0	p o r e y i d e 
ಮೇಲ್ಭಾಗ 1.0	m ee l eu bh aa g 
ತೆರೆದಿದ್ದು 1.0	t e r e d i d eu d u 
ತಳಭಾಗ 1.0	t lx bh aa g 
ಮುಚ್ಚಿರುತ್ತದೆ 1.0	m u c eu c i r u t eu t d e 
ಕಿಲೋಮೀಟರ್‌ಗಳಲ್ಲಿ 1.0	k i l ii ii tx r eu g lx l eu l i 
ರಿಸೆರ್ವೆಶನ್ಸ್ 1.0	r i s e r eu w e sh n eu s eu 
ಇನ್ 1.0	i n eu 
ಯುನಿಲಾಟರಲ್ 1.0	y u n i l aa tx r l eu 
ಡಿಕ್ಲರೇಶನ್ಸ್ 1.0	dx i k eu l r ee sh n eu s eu 
ಅಕ್ಸೆಪ್ಟಿಗ್ 1.0	a k eu s e p eu tx i g eu 
ದ 1.0	d 
ಕಂಪಲ್ಸರಿ 1.0	k q p l eu s r i 
ಜೂರಿಸ್ಡಿಕಶನ್ 1.0	j uu r i s eu dx i k sh n eu 
ಅಫ್ 1.0	a txh 
ದಿ 1.0	d i 
ಇಂಟರ್‌ನ್ಯಾಶನಲ್ 1.0	i q tx r eu n eu y aa sh n l eu 
ಕೋರ್ಟ್ 1.0	k ii eu tx eu 
ಜಸ್ಟೈಐಸ್ಲ್ 1.0	j s eu tx ai ai s eu l eu 
ಲೆಅಡನ್ಮಾರ್ಟಿನಸ್ 1.0	l e a dx n eu m aa r eu tx i n s eu 
ನಿಝೊಫ್ಫ್ 1.0	n i jh o txh txh 
ಸಾವಿರದ 1.0	s aa w i r d 
ಒಂಬೈನೂರ 1.0	o q b ai n uu r 
ತೊಂಬತೈದು 1.0	t o q b t ai d u 
ಸತ್ಯ 1.0	s t eu y 
ವಿಶ್ವೈಕ್ಯವಾದುದೇ 1.0	w i sh eu w ai k eu y w aa d u d ee 
ವಿಶ್ವಾತೀತವಾದುದೇ 1.0	w i sh eu w aa t ii t w aa d u d ee 
ಹಿಂದಿನ 1.0	h i q d i n 
ಸಿದ್ಧಾಂತಗಳು 1.0	s i d eu dh aa q t g lx u 
ಹೇಳಿದಂತೆ 1.0	h ee lx i d q t e 
ಮೇಜಿನ 1.0	m ee j i n 
ಪುಸ್ತಕ 1.0	p u s eu t k 
ಕೆಲವೊಂದು 1.0	k e l w o q d u 
ವಿಧವಾದ 1.0	w i dh w aa d 
ಬೀಟಾ 1.0	b ii tx aa 
ನಶಿಸುವಿಕೆಯಂತಹ 1.0	n sh i s u w i k e y q t h 
ವಿಕಿರಣಶೀಲ 1.0	w i k i r nx sh ii l 
ನಶಿಸುವಿಕೆಗೆ 1.0	n sh i s u w i k e g e 
ದುರ್ಬಲ 1.0	d u r eu b l 
ಅಣು 1.0	a nx u 
ಬಲವು 1.0	b l w u 
ಅಂತಸ್ಥಶಕ್ತಿ 1.0	a q t s eu th sh k eu t i 
ಮುಂದುವರಿಯುತ್ತಿರುವ 1.0	m u q d u w r i y u t eu t i r u w 
ಹಿಂದುಳಿದ 1.0	h i q d u lx i d 
ಅಭಿವೃದ್ಧಿಯಾಗುತ್ತದೆ 1.0	a bh i w rq d eu dh i y aa g u t eu t d e 
ಹಾಡುಗಾರರು 1.0	h aa dx u g aa r r u 
ಮಂದಿ 1.0	m q d i 
ಇರುತ್ತಾರೆ 1.0	i r u t eu t aa r e 
ಕಾಗದದ 1.0	k aa g d d 
ಎಲೆಯ 1.0	e l e y 
ಅಲಂಕರಣ 1.0	a l q k r nx 
ಕಾರ್ಯಗಳನ್ನು 1.0	k aa r eu y g lx n eu n u 
ನಿರ್ಮಿಸಿದ 1.0	n i r eu m i s i d 
ಇಪ್ಪತ್ತನೇ 1.0	i p eu p t eu t n ee 
ಶತಮಾನದ 1.0	sh t m aa n d 
ಕಲಾವಿದರು 1.0	k l aa w i d r u 
ಹೆಚ್ಚಾಗಿ 1.0	h e c eu c aa g i 
ಅಂಗಸಂಸ್ಥೆಗಳೆಲ್ಲವೂ 1.0	a q g s q s eu th e g lx e l eu l w uu 
ರಷ್ಯದ 1.0	r sx eu y d 
ಪಕ್ಷದ 1.0	p k eu sx d 
ರೀತಿಯಲ್ಲಿ 1.0	r ii t i y l eu l i 
ರಚಿತವಾದುವುಗಳಲ್ಲ 1.0	r c i t w aa d u w u g lx l eu l 
ತಂತ್ರಜ್ಞದ 1.0	t q t eu r j eu nj d 
ಲಾಭಗಳಲ್ಲಿ 1.0	l aa bh g lx l eu l i 
ಸರಳತೆ 1.0	s r lx t e 
ಪರಿವರ್ತನೆಯ 1.0	p r i w r eu t n e y 
ಸರಾಗತೆ 1.0	s r aa g t e 
ಒಳಗೊಂಡಿವೆ 1.0	o lx g o q dx i w e 
ಇದನ್ನು 1.0	i d n eu n u 
ಸಂಖ್ಯೆಗಳ 1.0	s q kh eu y e g lx 
ದತ್ತಸಂಚಯವನ್ನು 1.0	d t eu t s q c y w n eu n u 
ನಿರ್ವಹಿಸಿಕೊಂಡು 1.0	n i r eu w h i s i k o q dx u 
ಬರುವ 1.0	b r u w 
ಸಾಧಿಸಬಹುದು 1.0	s aa dh i s b h u d u 
ಬೇಲೂರಿಗೆ 1.0	b ee l uu r i g e 
ಹೋದುದರಿಂದ 1.0	h ii u d r i q d 
ಕಡಿಮೆಯಾಗಿತ್ತು 1.0	k dx i m e y aa g i t eu t u 
ಒತ್ತಡಕ್ಕೇರಿಸಲಾದ 1.0	o t eu t dx k eu k ee r i s l aa d 
ಘಟಕಗಳನ್ನು 1.0	gh tx k g lx n eu n u 
ಅವು 1.0	a w u 
ತೂತು 1.0	t uu t u 
ಮಾಡಬಲ್ಲವು 1.0	m aa dx b l eu l w u 
ಏಕಸ್ವಾಮ್ಯವುಳ್ಳ 1.0	ee k s eu w aa m eu y w u lx eu lx 
ಉದ್ಯಮಿಗಳು 1.0	u d eu y m i g lx u 
ಉದ್ದೇಶಿಸುವಂತೆ 1.0	u d eu d ee sh i s u w q t e 
ಪೈಪೋಟಿ 1.0	p ai p ii i 
ಇರುವಲ್ಲಿ 1.0	i r u w l eu l i 
ಉದ್ಯಮಿಗಳ 1.0	u d eu y m i g lx 
ಪ್ರವೇಶದಿಂದ 1.0	p eu r w ee sh d i q d 
ಉತ್ಪಾದನೆ 1.0	u t eu p aa d n e 
ಹೆಚ್ಚುವುದರಿಂದ 1.0	h e c eu c u w u d r i q d 
ಬೆಲೆಗಳು 1.0	b e l e g lx u 
ಇಳಿದು 1.0	i lx i d u 
ಲಾಭಗಳಿಕೆ 1.0	l aa bh g lx i k e 
ಕಡಿಮೆಯಾಗುವುದನ್ನು 1.0	k dx i m e y aa g u w u d n eu n u 
ತಡೆಯುವುದು 1.0	t dx e y u w u d u 
ಸ್ಟಾರ್ 1.0	s eu tx aa r eu 
ಬೋರ್ಡ್ 1.0	b ii eu dx eu 
ಬದಿಯಲ್ಲಿ 1.0	b d i y l eu l i 
ಸರಣಿಗಳನ್ನು 1.0	s r nx i g lx n eu n u 
ಸುತ್ತಿಸುತ್ತದೆ 1.0	s u t eu t i s u t eu t d e 
ಬಳಕೆದಾರ 1.0	b lx k e d aa r 
ಬಂದ 1.0	b q d 
ಮೆಸಿಡೋನಿಯನ್ನರೂ 1.0	m e s i dx ii i y n eu n r uu 
ಅಲ್ಪಪ್ರಮಾಣದಲ್ಲಿ 1.0	a l eu p p eu r m aa nx d l eu l i 
ವ್ಯವಸ್ಥೆಯನ್ನಿಟ್ಟುಕೊಂಡಿದ್ದರು 1.0	w eu y w s eu th e y n eu n i tx eu tx u k o q dx i d eu d r u 
ಕೋಶಕೃಷಿಯಲ್ಲಿ 1.0	k ii k rq sx i y l eu l i 
ವಿಸರಣವು 1.0	w i s r nx w u 
ಪೋಷಕಾಂಶಗಳ 1.0	p ii k aa q sh g lx 
ಚಯಾಪಚಯ 1.0	c y aa p c y 
ಕ್ರಿಯೆಯ 1.0	k eu r i y e y 
ಉತ್ಪನ್ನದ 1.0	u t eu p n eu n d 
ಸಾಗಾಣಿಕೆಗೆ 1.0	s aa g aa nx i k e g e 
ಏಕಮಾತ್ರ 1.0	ee k m aa t eu r 
ವಿಧಾನವಾಗಿದೆ 1.0	w i dh aa n w aa g i d e 
ದ್ರವಗಳು 1.0	d eu r w g lx u 
ಬಾಯ್ಲರ್ 1.0	b aa y eu l r eu 
ಗಾಳಿಯ 1.0	g aa lx i y 
ಬಿಸಿ 1.0	b i s i 
ಅಂತರ್ಜಾಲ 1.0	a q t r eu j aa l 
ಪರೀಕ್ಷಿಸುವಾಗ 1.0	p r ii k eu sx i s u w aa g 
ಬಳಕೆಯನ್ನು 1.0	b lx k e y n eu n u 
ಉತ್ತೇಜಿಸುವುದು 1.0	u t eu t ee j i s u w u d u 
ಪ್ರಸಿದ್ಧವಾದ 1.0	p eu r s i d eu dh w aa d 
ಬೆಸ್ನಗರದ 1.0	b e s eu n g r d 
ಗರುಡಧ್ವಜ 1.0	g r u dx dh eu w j 
ಶಾಸನದಲ್ಲಿ 1.0	sh aa s n d l eu l i 
ದೊರೆಯನ್ನು 1.0	d o r e y n eu n u 
ಕುರಿತ 1.0	k u r i t 
ಉಲ್ಲೇಖ 1.0	u l eu l ee kh 
ಇದೆ 1.0	i d e 
ಗೋಂದುಗಳ 1.0	g ii d u g lx 
ಬದಲು 1.0	b d l u 
ವೀನೈಲ್ 1.0	w ii n ai l eu 
ರಾಳ 1.0	r aa lx 
ಬಳಕೆಯಲ್ಲಿ 1.0	b lx k e y l eu l i 
ಬರುತ್ತಿದೆ 1.0	b r u t eu t i d e 
ದೀಪಾವಳಿಯ 1.0	d ii p aa w lx i y 
ಮೂರುದಿವಸ 1.0	m uu r u d i w s 
ಹಾಡುವಾಗ 1.0	h aa dx u w aa g 
ಹಿಡಿದ 1.0	h i dx i d 
ಜ್ಯೋತಿ 1.0	j eu y ii i 
ಮಾರ್ಗ 1.0	m aa r eu g 
ಮಧ್ಯದಲ್ಲಿ 1.0	m dh eu y d l eu l i 
ನಂದಬಾರದೆಂದೂ 1.0	n q d b aa r d e q d uu 
ನಂದಿದರೆ 1.0	n q d i d r e 
ಕೇಡಾಗುತ್ತದೆಂದೂ 1.0	k ee dx aa g u t eu t d e q d uu 
ನಂಬಿದ್ದಾರೆ 1.0	n q b i d eu d aa r e 
ಮಿರ್ 1.0	m i r eu 
ನಂತಹ 1.0	n q t h 
ನಿಲ್ದಾಣಗಳಿಗೆ 1.0	n i l eu d aa nx g lx i g e 
ಹೋಲಿಸಿದರೆ 1.0	h ii i s i d r e 
ಉತ್ತಮ 1.0	u t eu t m 
ಗಗನಯಾತ್ರಿಗಳು 1.0	g g n y aa t eu r i g lx u 
ಆಕಾಶ 1.0	aa k aa sh 
ನಡಿಗೆಯ 1.0	n dx i g e y 
ಪ್ರತಿಯೊಂದು 1.0	p eu r t i y o q d u 
ಭಾಗಗಳನ್ನು 1.0	bh aa g g lx n eu n u 
ಅಳವಡಿಸುತ್ತಾರೆ 1.0	a lx w dx i s u t eu t aa r e 
ಪಾಲಿ 1.0	p aa l i 
ಎಸ್ಟರ್ 1.0	e s eu tx r eu 
ರಾಳಗಳಿಂದ 1.0	r aa lx g lx i q d 
ಗಾಜಿನ 1.0	g aa j i n 
ಎಳೆಗಳನ್ನು 1.0	e lx e g lx n eu n u 
ಅಂಟಿಸಿ 1.0	a q tx i s i 
ಶಕ್ತಿಯುತ 1.0	sh k eu t i y u t 
ಕಂಬಿಗಳನ್ನು 1.0	k q b i g lx n eu n u 
ಲ್ಯಾಟಿನ್ 1.0	l eu y aa tx i n eu 
ಅಮೆರಿಕನ್ 1.0	a m e r i k n eu 
ರಾಷ್ಟ್ರಗಳಲ್ಲಿ 1.0	r aa sx eu tx eu r g lx l eu l i 
ಇಂದು 1.0	i q d u 
ಪ್ರಪಂಚದಲ್ಲೆಡೆ 1.0	p eu r p q c d l eu l e dx e 
ಹರಡಿಕೊಂಡಿದೆ 1.0	h r dx i k o q dx i d e 
ಸ್ನೇಹ 1.0	s eu n ee h 
ಆಗಸ್ಟ್ 1.0	aa g s eu tx eu 
ಮೊದಲ 1.0	m o d l 
ಭಾನುವಾರವನ್ನು 1.0	bh aa n u w aa r w n eu n u 
ವಿಶ್ವದೆಲ್ಲೆಡೆ 1.0	w i sh eu w d e l eu l e dx e 
ಗೆಳೆತನದ 1.0	g e lx e t n d 
ದಿನವನ್ನಾಗಿ 1.0	d i n w n eu n aa g i 
ಆಚರಿಸಲಾಗುತ್ತಿದೆ 1.0	aa c r i s l aa g u t eu t i d e 
ಇವು 1.0	i w u 
ಚೂಪು 1.0	c uu p u 
ದೂರಸಂಪರ್ಕ 1.0	d uu r s q p r eu k 
ಕಂಪೆನಿಗಳು 1.0	k q p e n i g lx u 
ದೂರವಾಣಿ 1.0	d uu r w aa nx i 
ತಂತ್ರಜ್ಞಾನ 1.0	t q t eu r j eu nj aa n 
ಮೊಟ್ಟೆಯಲ್ಲಿ 1.0	m o tx eu tx e y l eu l i 
ತಾಯಿ 1.0	t aa y i 
ಸಂಗ್ರಹಿಸಿದ 1.0	s q g eu r h i s i d 
ಇತ್ತೀಚೆಗಷ್ಟೇ 1.0	i t eu t ii c e g sx eu tx ee 
ಎಂಜಿನ್ 1.0	e q j i n eu 
ಗಳಲ್ಲಿ 1.0	g lx l eu l i 
ಶೀತಕದಲ್ಲಿ 1.0	sh ii t k d l eu l i 
ಸಮಸ್ಯೆಗಳಿರುವುದು 1.0	s m s eu y e g lx i r u w u d u 
ಕಂಡುಬಂದಿದೆ 1.0	k q dx u b q d i d e 
ಮೊದಲಾದದ್ದು 1.0	m o d l aa d d eu d u 
ಸಾವಿರದೊಂಬೈನೂರ 1.0	s aa w i r d o q b ai n uu r 
ನಲ್ವತ್ತೇಳರಲ್ಲಿ 1.0	n l eu w t eu t ee lx r l eu l i 
ಜಾನ್ 1.0	j aa n eu 
ಸನ್ 1.0	s n eu 
ಸ್ಪೇಸ್ 1.0	s eu p ee s eu 
ಸೆಂಟರ್ 1.0	s e q tx r eu 
ನಲ್ಲಿರುವ 1.0	n l eu l i r u w 
ನಾಸ 1.0	n aa s 
ಮಿಶನ್ 1.0	m i sh n eu 
ಕಂಟ್ರೋಲ್ 1.0	k q tx eu r ii eu 
ಕಲಹಕ್ಕೆ 1.0	k l h k eu k e 
ಸಂಬಂಧಿಸಿದ 1.0	s q b q dh i s i d 
ಪ್ರಕರಣಗಳು 1.0	p eu r k r nx g lx u 
ಇಲ್ಲಿ 1.0	i l eu l i 
ಆಯಾ 1.0	aa y aa 
ರಾಜ್ಯಗಳ 1.0	r aa j eu y g lx 
ವಿವಾದಗಳ 1.0	w i w aa d g lx 
ವಿಷಯಗಳ 1.0	w i sx y g lx 
ಅರ್ಜಿ 1.0	a r eu j i 
ಸಲ್ಲಿಸಲು 1.0	s l eu l i s l u 
ಅನುಮತಿ 1.0	a n u m t i 
ನೀಡುತ್ತದೆ 1.0	n ii dx u t eu t d e 
ತೆಗೆದು 1.0	t e g e d u 
ಕೊಂಡ 1.0	k o q dx 
ಮಾರ್ಗದಲ್ಲಿ 1.0	m aa r eu g d l eu l i 
ಘರ್ಷಣೆ 1.0	gh r eu sx nx e 
ಉಂಟಾದರೆ 1.0	u q tx aa d r e 
ನಡೆಯುವ 1.0	n dx e y u w 
ಕೆಲಸದ 1.0	k e l s d 
ಪರಿಣಾಮ 1.0	p r i nx aa m 
ಬೀರುತ್ತದೆ 1.0	b ii r u t eu t d e 
ಬದಲಿಗೆ 1.0	b d l i g e 
ಶಕ್ತಿಯ 1.0	sh k eu t i y 
ನೆಲೆಯಲ್ಲಿರುತ್ತವೆ 1.0	n e l e y l eu l i r u t eu t w e 
ನೇತಾಜಿ 1.0	n ee t aa j i 
ಸುಭಾಷ್ 1.0	s u bh aa sx eu 
ಚಂದ್ರ 1.0	c q d eu r 
ಬೋಸ್ 1.0	b ii eu 
ರವರ 1.0	r w r 
ನೇತೃತ್ವದಲ್ಲಿ 1.0	n ee t rq t eu w d l eu l i 
